question_number,question,option_a,option_b,option_c,option_d,correct_answer
133,"Esta señal [IMAGEN DE PROHIBIDO ADELANTAR] indica: (Ver gráfico 18)","Ingreso prohibido a automóviles.","Se encuentra prohibido el sobrepaso o adelantamiento.","","",b
134,"Esta señal [IMAGEN DE PROHIBIDO CIRCULAR AUTOMÓVIL] indica: (Ver gráfico 19)","Prohibición de circular cualquier tipo de vehículos.","Prohibición de circular automóvil.","Prohibido estacionar automóvil.","",b
135,"Esta señal informativa [IMAGEN DE PUESTO SANITARIO] indica: (Ver grafico 20)","Proximidad zona de peligro.","Proximidad puesto sanitario.","Proximidad estación de servicio.","",b
136,"Esta señal [IMAGEN DE SEÑAL PREVENTIVA GENÉRICA] es: (Ver gráfico 21)","Informativa.","Preventiva.","Prohibitiva","",b
137,"Esta señal informativa de orientación [IMAGEN DE SEÑAL DE DESTINO] indica: (Ver gráfico 22)","Informa los destinos a encontrar sobre la vía por la que se circula.","Obliga a circular hacia uno de los sentidos indicados en la señal.","","",a
138,"¿En qué lugares de los citados está prohibido adelantarse a otros vehículos?","En puentes, túneles, al atravesar vías férreas, en encrucijadas, en curvas.","En puentes y túneles solamente.","","",a
139,"¿Qué vehículos tienen siempre prioridad de paso?","Ambulancias, policías, bomberos y transportes escolares.","Ambulancias, policía y bomberos.","Ambulancias, policías y bomberos en situación de emergencia con sus señales lumínicas (balizas) y acústicas (sirena) en funcionamiento.","",c
140,"¿Qué normas deben ser respetadas por los ciclistas?","Las normas para peatones.","Las normas para los conductores.","Ningunas.","",b
141,"Si Ud. tiene intención de girar ¿con cuántos metros antes debe iniciar la maniobra, advirtiéndola con la luz de giro correspondiente?","10m.","20m.","30m.","",c
142,"¿Qué significa la luz roja intermitente del semáforo?","Una señal de ""CEDA EL PASO"".","Una señal de ""PARE"".","","",b
143,"Las señales informativas son de color:","Rojas.","Amarillas.","Azules.","",c
144,"En el estacionamiento paralelo al cordón ¿a qué distancia debe estacionar el vehículo con respecto al cordón de la acera?","No mayor de 20 cm.","No mayor a 30 cm.","No mayor a 40 cm.","",a
145,"En un estacionamiento paralelo al cordón ¿Qué separación mínima debe guardar entre paragolpes con respecto a los otros vehículos?","Mínimo 30 cm.","Mínimo 40 cm.","Mínimo 50 cm.","",c
146,"Los cinturones de seguridad son útiles cuando viaja en rutas, pero en la ciudad no son necesarios","Verdadero.","Falso.","","",b
147,"Las señales informativas advierten al conductor sobre un posible riesgo en el camino","Verdadero.","Falso.","","",b
148,"¿En cuestas estrechas qué automóvil tiene prioridad de paso?","El que asciende.","El que desciende.","","",a
149,"Ud. enciende la luz alta.....","Excepcionalmente, atento a las situaciones del tránsito que lo requieran y cambiando a luz baja en el momento previo al cruce con otros vehículos que circulen en sentido contrario y durante la aproximación al vehículo que circula delante suyo.","Siempre, excepto cuando corresponda la luz baja.","","",a
150,"Ud. utiliza los destellos luminosos (cambio rápido de luces) para.....","Advertir el cruce en las intersecciones.","Efectuar un giro.","","",a
151,"¿Está permitida la utilización de las luces intermitentes de emergencia (balizas) en circulación normal?","Sí.","No.","","",b
152,"¿Qué debe hacer cuando el automóvil que está inmediatamente delante del suyo está esperando para girar a la izquierda?","Constato que el carril derecho se encuentre libre y me adelanto por el carril derecho.","Me adelanto con cuidado por la izquierda.","Toco la bocina para indicarle que continúe la marcha.","",a
153,"Esta señal [IMAGEN DE NO GIRAR EN U] prohíbe: (Ver gráfico 23)","Verdadero.","Falso.","","",a
154,"Detener un vehículo en la vía pública es inmovilizarlo el tiempo indispensable para efectuar el ascenso y/o descenso de personas, equipajes o cargas con permanencia del conductor en el vehículo.","Verdadero.","Falso.","","",a
155,"Las señales preventivas prohíben y restringen.","Verdadero.","Falso.","","",b
156,"¿A que se denomina demarcación horizontal?","A los semáforos.","A toda la señalización vial.","A las marcas pintadas en el pavimento.","",c
157,"¿Cómo debe estacionar en una calle con pendiente?","Colocando el freno de mano.","Con las ruedas transversales al cordón de la acera (vereda).","Con las ruedas transversales al cordón de la acera (vereda) y el freno de mano colocado.","",c
158,"¿Cuál es el índice máximo permitido de alcohol (en aire expirado) para un conductor de motovehículo en la Ciudad de Córdoba?","0,4 gr/l.","0,2 gr/l.","0,0 gr/l.","",c
159,"Es obligatorio el uso del casco en un motovehículo (ciclomotor o motocicleta):","Sólo para el conductor.","Para conductor y acompañante.","Sólo para el acompañante.","",b
160,"Los motociclistas deben circular:","Por el lado derecho de la calzada.","Por el lado derecho de la calzada, dentro de la faja de 1 m a partir del borde derecho de la misma, de uno en fondo.","Por el lado derecho de la calzada, dentro de la faja de 1 m a partir del borde derecho de la misma, apareados (uno al lado del otro).","",b
161,"Los conductores de ciclomotores menores de 18 años pueden transportar:","Sólo un acompañante.","Si los acompañantes son pequeños, los que quepan en el asiento.","Ningún acompañante.","",c
162,"Ud. posee Licencia de Conducir categoría “A” (motovehículo). La misma lo habilita a conducir:","Sólo motovehículos (ciclomotor o motocicleta).","Motovehículos y vehículos particulares.","Cualquier tipo de vehículo.","",a
163,"¿Cuál es el índice máximo permitido de alcohol (en aire expirado) para un conductor de camión con acoplado en la Ciudad de Córdoba?","0,4 gr/l.","0,2 gr/l.","0,0 gr/l.","",c
164,"Esta señal [IMAGEN DE PROHIBIDO CAMIONES] indica: (Ver gráfico 24)","Prohibición de circular camiones.","Obligación de circular el transporte pesado por la derecha.","Prohibido adelantarse a camiones.","",a
165,"Esta señal [IMAGEN DE LÍMITE DE PESO 5.5T] indica: (Ver gráfico 25)","Prohibición de circular camiones cuya carga exceda las 5,5 toneladas.","Prohibición de circular camiones cuyo peso total exceda las 5,5 toneladas.","","",b
166,"¿Si conduzco un transporte de carga, puedo estacionar para pernoctar (dormir) sobre la calzada (pavimento)?","Sí.","Sí, siempre que estacione a mano derecha.","Sólo está permitido en espacios expresamente señalizados a tal fin.","",c
167,"Para transportar carga a granel, polvorienta o que difunda olor desagradable, lo correcto es:","Que la carga no sobrepase el borde superior de la caja del camión.","Que la carga no sobrepase el borde superior de la caja del camión, cubriéndose la misma en forma total y eficaz con elementos que impidan su caída.","","",b
168,"¿En un cruce no semaforizado sin señalización, el camión debe ceder el paso a todo vehículo que se presente por la derecha?","Siempre.","Sólo a otro camión.","No, si el vehículo es un automóvil o motocicleta.","",a
169,"¿Cuál es el índice máximo permitido de alcohol (en aire expirado) para un conductor de camión de hasta 3500 Kg (Categoría C, sin acoplado) en la Ciudad de Córdoba?","0,4 gr/l.","0,2 gr/l.","0,0 gr/l.","",b
170,"¿Cuál es el índice máximo permitido de alcohol (en aire expirado) para un conductor de transporte público (colectivo) en la Ciudad de Córdoba?","0,4 gr/l.","0,2 gr/l.","0,0 gr/l.","",c
171,"La Licencia de Conducir categoría ""D"" (transporte público de pasajeros), habilita a conducir automóviles:","Sí.","No.","Habilita a conducir cualquier clase de vehículos.","",a
172,"¿Dónde debe efectuar el ascenso y/o descenso de pasajeros?.","En el borde de la acera.","Sobre el borde de la acera, en la parada señalizada, y si no estuviera señalizada, la detención se efectuará a 30 m. antes de la intersección.","Es indistinto.",b
173,"¿Está permitido fumar al conductor de un transporte público de pasajeros durante la prestación del servicio?.","Sí.","No.","","",b
174,"¿Está habilitado a conducir TRANSPORTE PÚBLICO DE PASAJEROS si posee Licencia Particular?.","Sí.","No.","","",b
175,"¿Está permitido estacionar vehículos de transporte público de pasajeros con capacidad superior a 30 personas, en cualquier parte de la vía pública?.","No.","Sí, siempre que el estacionamiento se efectúe sobre mano derecha.","Sólo está permitido en espacios señalizados para tal fin.","",c
176,"¿Cuál es el índice máximo permitido de alcohol (en aire expirado) para un conductor de vehículos de emergencias en la Ciudad de Córdoba?","0,4 gr/l","0,2 gr/l.","0,0 gr/l.","",c
177,"Ud. conductor de un vehículo de emergencia radicado en la Ciudad de Córdoba, tiene la obligación de realizar la Inspección Técnica Vehicular (ITV):","Si el vehículo tiene una antigüedad menor a los 2 años está excento.","Se debe realizar la inspección cada 6 meses.","Si el vehículo tiene una antigüedad menor a 2 años la inspección se debe realizar cada 4 meses.","",b
178,"Los vehículos de los servicios de emergencias, en cumplimiento estricto de sus funciones específicas, tienen la obligación de advertir su presencia con los dispositivos de alarma de tipo lumínico (balizas) y acústico (sirena) en funcionamiento, que permitan anticipar su paso al resto de los conductores y peatones.","Verdadero.","Falso.","","",a
179,"¿Los vehículos de emergencia en función específica, con las alarmas lumínicas (balizas) y acústicas (sirenas) en funcionamiento pueden NO respetar las normas de circulación de tránsito?","Pueden NO respetarlas, siempre que les sea imprescindible para cumplir su misión, tratando de no causar un mal mayor que aquél al cual acuden e intentan resolver.","Deben respetar siempre las normas de circulación.","","",a
180,"Los vehículos de emergencia deben tener:","Balizas azules intermitentes.","Balizas rojas intermitentes.","Balizas verdes intermitentes.","",c
181,"Ud. conductor de un transporte escolar, radicado en la Ciudad de Córdoba, tiene la obligación de realizar la Inspección Técnica Vehicular (ITV) :","Si el vehículo tiene una antigüedad menor a 2 años está excento.","Si el vehículo tiene una antigüedad menor a 2 años debe realizarla cuatrimestralmente.","Si el vehículo tiene una antigüedad menor a 2 años debe realizarla semestralmente.","",c
182,"Si Ud. posee una Licencia de Conducir ""Profesional Taxi"", ¿la misma lo habilita a conducir un ""Transporte Escolar""?","Sí, porque es categoría profesional.","No, debo conducir portando la Licencia de transporte escolar.","","",b
183,"¿Cuál es el índice máximo permitido de alcohol (en aire expirado) para un conductor de transporte escolar en la Ciudad de Córdoba?","0,4 gr/l.","0,2 gr/l.","0,0 gr/l.","",c
184,"En los vehículos autorizados para transporte escolar, y en el horario de prestación del servicio, se podrán transportar:","Personas mayores ajenas al servicio.","Escolares.","Es indistinto.","",b
185,"Para el ascenso y descenso de escolares el transporte escolar deberá:","Arrimar el vehículo al cordón de la vereda, con las puertas cerradas hasta que el mismo se detenga y dentro de la misma cuadra.","Arrimar el vehículo al cordón de la vereda, con la puerta abierta, y tocar bocina para llamar la atención de los educandos.","Es indistinto.","",a
186,"¿Es obligatorio en el transporte escolar el comprobante de pago al día de la Póliza de Seguro?","Sí.","No.","","",a
187,"¿Cuál es el índice máximo permitido de alcohol (en aire expirado) para un conductor de vehículos de seguridad en la Ciudad de Córdoba?","0,4 gr/l.","0,2 gr/l.","0,0 gr/l.","",c
188,"Los vehículos de seguridad deben tener:","Balizas azules intermitentes.","Balizas rojas intermitentes.","Balizas verdes intermitentes.","",a
189,"¿Es obligación del conductor del AUTO TAXI tener el cambio de dinero necesario para poder dar el vuelto exacto, debiendo al menos tener el cambio equivalente a 10 (diez) bajadas de banderas?","Sí.","No.","","",a
190,"¿Es obligación que el conductor de AUTO TAXI siga el camino más corto en distancia y/o tiempo, si el recorrido no ha sido indicado por el pasajero?","Sí.","No.","","",a
191,"¿Cuál es el índice máximo permitido de alcohol (en aire expirado) para un conductor de AUTO TAXI en la Ciudad de Córdoba?","0,4 gr/l.","0,2 gr/l.","0,0 gr/l.",c
192,"¿Si el modelo de su automóvil AUTO TAXI es de antigüedad menor a 2 (dos) años, cada cuánto tiempo Ud. deberá realizar la Inspección Técnica Vehicular (I.T.V.)?","4 (cuatro) meses.","6 (seis) meses.","Anualmente.","",b
193,"¿Ud. conductor de AUTO TAXI, debe ayudar a su pasajero en la carga y descarga de maletas y equipajes?","Sí.","No.","","",a
194,"Ud. como conductor de AUTO TAXI deberá exigir el ascenso a su vehículo según la orden de llegada de los usuarios en las paradas autorizadas.","Verdadero.","Falso.","","",a
195,"¿Ud. conductor de AUTO TAXI, cuándo deberá poner en marcha el aparato taxímetro?","Al ser solicitado el servicio por el usuario.","Al iniciar el recorrido.","","",b
196,"Ud. conductor de AUTO TAXI, deberá entregar al pasajero comprobante de viaje donde conste el importe exacto, fecha y horario del servicio, identificación del prestador.","Verdadero.","Falso.","","",a
197,"¿Ud. conductor de AUTO TAXI puede prestar el servicio vestido con pantalones cortos y ojotas o sandalias en verano?","Si.","No.","","",b
198,"¿Ud. conductor de AUTO REMIS puede prestar el servicio cuando es solicitado por un usuario en la vía pública?","Sí.","No.","","",b
199,"¿Cuál es el índice máximo permitido de alcohol (en aire expirado) para un conductor de AUTO REMIS en la Ciudad de Córdoba?","0,4 gr/l.","0,2 gr/l.","0,0 gr/l.","",c
200,"¿Si el modelo de su automóvil AUTO REMIS es de antigüedad menor a 2 (dos) años, cada cuánto tiempo Ud. deberá realizar la Inspección Técnica Vehicular (I.T.V.)?","4 (cuatro) meses.","6 (seis) meses.","Anualmente.","",b
201,"Ud. conductor de AUTO REMIS está obligado a entregar al pasajero el comprobante de viaje.","Verdadero.","Falso.","","",a
202,"¿Está permitido prestar el servicio de AUTO REMIS con acompañante durante las horas de luz natural?","No.","Sí.","","",a
203,"Ud. como conductor de AUTO REMIS puede negarse a entrar en lugares de propiedad privada.","Verdadero.","Falso.","","",a
204,"¿Ud. conductor de AUTO REMIS puede prestar el servicio vestido con pantalones cortos y ojotas o sandalias en verano?","Si.","No.","","",b
205,"Ud. conductor de AUTO REMIS circula en horario nocturno y con acompañante. ¿Cuántos pasajeros como máximo puede transportar por viaje?","Hasta 4 (cuatro) pasajeros.","Hasta 3 (tres) pasajeros.","","",b
